title,lastrevid
Serhiy Tymchenko,1249574861
Stanisław Rehman,1192859692
Tatyana Karimova,1245927956
Vladimir Kvachkov,1232950617
Washington Malianga,1064532257
Yahya Kanu,1229494641
Yolani Batres,1184919604
Yury Ambrazevich,1172992483
Alberto Tarchiani,1238108211
Alexander Sergeyevich Makarov,1171644418
Ata Serdarow,1183327657
Bartolomeo Panciatichi,1052735553
Branko Bačić,1224032607
Chilkhaajavyn Avday,1051560376
Clémentine Ananga Messina,1217696496
David Paul (politician),1213791591
Didier Dogley,1236082048
Eduardo Stein,1228343915
Erik Berg (politician),1175482820
Estuardo Galdámez,1177403953
Francisco Pereira de Moura,1206537807
Francisco de Paula González Vigil,1231224096
Fuat Necati Öncel,1242630061
Gavro Vučković Krajišnik,1107975991
Gerald Nathaniel Kalya,1177427366
Guillermo Domenech,1236521270
Ha Tae-keung,1242619974
Hamdi al-Sayyid,1214462628
Héctor Dada Hirezi,1242670109
Ivana Živković,1249365592
Izidor Kršnjavi,1224321567
Jean-Marie Vianney Gatabazi,1226804014
John Mangefel,1242010533
Jorge Basadre,1244724603
Kafundanga Chingunji,1191431794
Khader Hamad,1220926150
Krasimir Valchev,1237335760
"Luis Francisco de la Cerda, 9th Duke of Medinaceli",1244697451
Mehmed Alajbegović,1250318982
Michael A. Carrington,1090468579
Milorad Vučelić,1226407894
Mukesh Sharma (BJP politician),1245508040
Mustafa al-Mousa,1232328719
Mário Lemos Pires,1238483760
Nguyễn Quốc Cường,1130925190
Osvaldo Gnocchi-Viani,1193589413
Pantelis Kouros,1222103574
Pritam Singh Mattan,1249627759
Pulin De,1242126632
Rafael del Riego,1221860007
Rafiullah Bidar,1197443408
Révérien Ndikuriyo,1231164333
Shukhrat Sultonov,1193501274
Surangkana Wayuparb,1248232277
Titus Mvalo,1228929938
Toivo Topias Pohjala,1166608674
Umar Zahir (politician),1240955887
Wolfgang Müller von Königswinter,1223428429
Abdul Hamid Dbeibeh,1248662391
Abdulah Nakaš,1175001666
Abdullah Naker,1245381314
Abdurrahman Melek,1168959559
Albinas Januška,1215107657
Alejandro Serani Burgos,1232887754
Alexandre Lyambabaje,1170468510
Branko Lukovac,1190555971
Chaithawat Tulathon,1250055355
Cheryl Mary Clare Hurst,1242813942
Christos Patsalides,1227623663
Faisal al-Hamar,1218302538
Farkas Bethlen,1221961669
Gobsan Muhumed,1243657457
Harka Gurung,1243223649
Harmodio Arias Cerjack,1112715613
Ikuo Oyama,1156481467
Jaime Gazmuri,1220158605
Jiří Svoboda (director),1250870275
Joaquín de Oreamuno,1233508565
Joris Helleputte,1051591828
José Antonio Velutini,1135427671
José María Vergara y Vergara,1245233403
Juan José Chaux Mosquera,1245229841
Ján Richter,1230254036
Kim Dae-mun,1235288437
Mahasumpo Raveloson,1185914772
Michel Patrick Boisvert,1242253141
Michele Caccavale,1174206322
Mohammad Sultan,1237264157
Moon Sung-hyun (politician),1237353584
Nikolaos Tsourouktsoglou,1246424186
Nurali Yusifbayli,1243510541
Osaigbovo Iyoha,1232541045
Phayom Chulanont,1244304302
Pierre Krier,1216624071
Ranesh Das Gupta,1242257552
Ranil Jayawardena,1247270745
Rosa Gómez de Mejía,1246218785
Rosa María Ortiz,1153524408
Sadig Rahimov,1245157534
Semion Moshiashvili,1219759537
Simplex Chithyola Banda,1228356805
Soares family,1249966412
Stanisław Szczepanowski,1192530157
Torben Braga,1248547868
Valentin Korabelnikov,1243587448
Varupula Satyaprabha,1232663181
Yuasa Kurahei,1221346251
Zahiya Zareer,1244341294
Ahmed Shibani,1245504726
Alessandro Contini-Bonacossi,1222515774
Ali wad Hilu,1174316394
Amos Okot,1246243558
Ante Šupuk,1249621933
Ante Županović,1242198727
Antônio Ricardo dos Santos,1184506048
Azmi Mahafzah,1247004269
Benjamin Giezendanner,1250258460
Benjamin Greenacre,1246187242
Bolesław Tejkowski,1188676854
Dieter Engels,1165387534
Diongolo Traore,1177650766
Dragoslav Ćirković,1067963386
Eustathios Lagakos,1118204107
Evgeny Shkolov,1236475217
Farouk Muhammad,1230185673
Friedhelm Frischenschlager,1223497595
"Gajo Bulat (politician, born 1867)",1197433208
Ida Bagus Putra Manuaba,1180947411
Kinga Tshering,1220863731
Luvsannyamyn Gantömör,1247359859
Marjet Van Puymbroeck,1233204055
Mehmed Kalakula,1145510350
Mirza Muhammad Ismail,1235165845
Mohamed Maghlaoui,1053469610
Mustafa Timisi,1186546821
Mya Lay Sein,1222232537
Nadeska Cuthbert,1231767190
Namig Nasrullayev,1158375491
Pedro Figari,1250777073
President of the Dominican Republic,1246219040
Pál Szinyei Merse,1218041682
Raghib al-Nashashibi,1249734328
Rimajon Xudoyberganova,1242391949
Rodolphe Prager,1083697354
Roman Dmitriyev,1224580022
Rubén Martínez Puente,1180190049
Salvador Minguijón Adrián,1226876537
Santana André Pitra,1165626399
Sekou Benna Camara,1214405631
Selma Baccar,1229550928
Sergiu Palihovici,1232778308
Sithembile Gumbo,1246239507
Souleymane Ly,1231188815
Takanori Hayashi,1188379975
Vladimir Kumets,1147914902
Vladimir Prebeg,1250642239
Vladimiras Beriozovas,1081645523
Zoran Veruševski,1243517990
Abdihakim Luqman,1236505010
Abdirahman Eid Daahir,1233387219
Ademar Frederico Duwe,1232135695
Ahmad Kamil Jaafar,1243383117
Alimuddin Daeng Matiro,1244188286
André Bradford,1106835172
André Kempinaire,1198582609
Bernard Njonga,1098278415
Bruno Ferrante,1194193117
Chiri Babu Maharjan,1225880924
Filippe Savadogo,1099231025
Francisco de Miranda,1247134615
Habibollah Dahmardeh,1227612495
Henry Ernest of Stolberg-Wernigerode,1230350617
Héctor Parra (footballer),1246581897
Ibrahim Ali Hussein,1236139483
Ibrahim Yaacob,1237215339
Iko Mirković,1245226569
Jean-Benoît Gonda,1159473113
Johann Rudolf Faesch,1244057992
Johnathan Joseph (politician),1241563151
Jones Mlolwa,1246061969
"Jorge Miguel Lozano, Marquis of San Jorge",1236266474
José Cecilio del Valle,1241979774
José Miguel Alfaro Rodríguez,1159361259
Kulasiri Kumarage,1191466959
Manuel de Molina Zamudio,1234177241
Marcel Van Langenhove (referee),1136613172
Minčo Jordanov,1244123853
Muhammed Ibrahim al-Juraissey,931452659
Nguyễn Quốc Định,1221993606
Oscar Danilo Blandón,1228542724
Osman Dubbe,1167452006
Osman Saleban Jama,1073933365
Ousmane Sy,1053500811
Patrick Raphael,1219647987
Petrus Olai Dalekarlus,1133261700
Renzo Patria,1109586417
Samir Murad,1244821309
Sang Phathanothai,1246817296
Say Phouthang,1174776111
Shin Seong-il,1234392094
Sigmund von Erlach,1244058763
Silvia Steiner,1244496245
Simon Casie Chetty,1179725774
Tadeusz Trzmiel,867840089
Thakin Kodaw Hmaing,1221126119
Tomáš Vandas,1243347736
Walter von Saint Paul-Illaire,1227931073
Yelena Protsenko,1243514438
Aidos Sadyqov,1248529408
Alejo Castex,1231276700
